,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
2827,2016-03-07,"['obrigado', 'todos', 'carinho', 'recebi', 'hoje', 'obrigado', '🇧🇷🇧🇷🇧🇷']","[0, 69]",2769,474,2016
4539,2016-03-08,"['inacreditável', 'acredite']","[0, 54]",420,140,2016
3931,2016-03-08,"['secretária', 'direitos', 'humanos', 'michel', 'temer', 'trabalha', 'contra', 'projeto', 'ministério', 'defesa', 'prejudica', 'militares']","[0, 140]",329,139,2016
5112,2016-03-08,"['cerimônia', 'entrega', 'espada', 'generais', 'brigada', 'brasil', 'acima', 'tudo', 'deus', 'acima', 'todos']","[0, 122]",418,76,2016
3015,2016-03-09,"['exército', 'mudaremos', 'brasil', '🇧🇷escola', 'aperfeiçoamento', 'oficiais', 'vila', 'militar', 'riorj']","[0, 104]",1076,211,2016
2896,2016-03-09,"['estrago', 'petista', 'educação', 'maior', 'possa', 'imaginar']","[0, 89]",515,178,2016
92,2016-03-10,"['carlosbolsonaro', 'vereador', 'votado', 'rio', 'janeiro', 'grato', 'todos', 'confiança']","[0, 114]",477,135,2016
1470,2016-03-10,"['testado', '2018', 'obrigado', 'rio', 'janeiro', 'abraço', 'brasil', 'vereador', 'carlosbolsonaro', 'deputado', 'estadual', 'flaviobolsonaro']","[0, 124]",1515,346,2016
4779,2016-03-11,"['veja', 'semelhança', 'brasileua', 'especial', 'após', '331', 'favor', 'assista', 'amanhã', 'poderá', 'tarde', 'demais']","[0, 132]",371,154,2016
3472,2016-03-11,"['vivo', 'tv', 'record', 'discussão', 'pena', 'morte', 'desarmamento', 'brasil', 'eua', 'surpresa', 'final', 'veja']","[0, 139]",369,91,2016
1043,2016-03-11,"['embraer', 'israel', 'perguntei', 'sobre', 'engenheiros', 'ime', 'ita', 'lá', 'disseramlá', 'vários', 'cérebros', 'brasil']","[0, 140]",495,108,2016
4552,2016-03-12,"['aman', 'resenderj', 'formatura', 'aspirantes', 'exército', 'parabéns', 'todos', 'bolsonarosp', 'carlosbolsonaro']","[0, 134]",384,52,2016
2881,2016-03-13,"['globo', 'news', 'outros', 'citam', 'mencionam', 'outros', 'vamos', 'internet', 'avante', 'brasil', 'grato', 'carinho']","[0, 140]",2256,1014,2016
1909,2016-03-13,"['olavotemrazao', 'foraforodesãopaulo', 'comunismonão', 'brasil']","[0, 80]",779,335,2016
6544,2016-03-14,"['hj', 'confirmamos', 'todos', 'oficialmente', 'filiados', 'psc', 'depbolsonaro', 'bolsonarosp', 'flaviobolsonaro', 'carlosbolsonaro']","[0, 136]",885,260,2016
5644,2016-03-15,"['gaguejou', 'falou', 'globo', 'news', 'admite', 'direita', 'brasil', 'nome']","[0, 101]",863,399,2016
5225,2016-03-16,"['brasileiros', 'agora', 'frente', 'palácio', 'planalto', 'brasília', 'bolsonarosp']","[0, 108]",772,343,2016
1819,2016-03-17,"['veja', 'apavora', 'pt']","[0, 50]",335,158,2016
1701,2016-03-17,"['ruas', 'brasília', 'agora', '12h30min']","[0, 58]",526,197,2016
2243,2016-03-17,"['brasília', 'agora', '19h15min', '17032016']","[0, 63]",276,92,2016
6514,2016-03-17,"['brasília', 'missão', 'ficar', 'fim', 'lado', 'povo', 'brasileiro', 'vamos', 'resgatar', 'país', 'vamos', 'ruas']","[0, 137]",1421,730,2016
338,2016-03-18,"['comunista', 'pt', 'apavorado', 'conosco']","[0, 66]",550,248,2016
